Date,Carrier,Zone,Distance_km,Fuel_Surcharge,Base_Cost,Total_Cost
2024-01-01,Carrier C,North,434,0.12,469,525.28
2024-01-02,Carrier A,Central,1476,0.24,735,911.4
2024-01-03,Carrier C,Central,1711,0.24,1229,1523.96
2024-01-04,Carrier C,East,1203,0.11,1793,1990.23
2024-01-05,Carrier A,Central,1126,0.11,1782,1978.02
2024-01-06,Carrier A,Central,1757,0.15,756,869.4
2024-01-07,Carrier C,East,779,0.14,219,249.66
2024-01-08,Carrier B,Central,1745,0.25,930,1162.5
2024-01-09,Carrier C,South,1783,0.09,1910,2081.9
2024-01-10,Carrier C,West,1489,0.05,1727,1813.35
2024-01-11,Carrier C,West,296,0.15,1181,1358.15
2024-01-12,Carrier C,East,885,0.09,1469,1601.21
2024-01-13,Carrier A,North,1512,0.12,840,940.8
2024-01-14,Carrier C,East,252,0.2,1597,1916.4
2024-01-15,Carrier B,North,1257,0.19,216,257.04
2024-01-16,Carrier A,West,172,0.11,1953,2167.83
2024-01-17,Carrier B,East,450,0.16,890,1032.4
2024-01-18,Carrier B,South,816,0.15,1250,1437.5
2024-01-19,Carrier B,Central,343,0.18,1516,1788.88
2024-01-20,Carrier B,North,329,0.1,1112,1223.2
2024-01-21,Carrier A,Central,1910,0.17,1764,2063.88
2024-01-22,Carrier A,Central,933,0.25,1181,1476.25
2024-01-23,Carrier B,East,1683,0.15,733,842.95
2024-01-24,Carrier B,Central,247,0.23,612,752.76
2024-01-25,Carrier A,South,1031,0.14,1874,2136.36
2024-01-26,Carrier A,Central,1980,0.12,901,1009.12
2024-01-27,Carrier A,East,1584,0.18,1219,1438.42
2024-01-28,Carrier C,South,801,0.18,1761,2077.98
2024-01-29,Carrier C,West,193,0.22,1241,1514.02
2024-01-30,Carrier C,Central,658,0.1,659,724.9
2024-01-31,Carrier B,East,1274,0.15,1724,1982.6
2024-02-01,Carrier C,West,1197,0.16,587,680.92
2024-02-02,Carrier B,West,236,0.2,1360,1632.0
2024-02-03,Carrier B,North,1399,0.06,996,1055.76
2024-02-04,Carrier C,South,513,0.25,1395,1743.75
2024-02-05,Carrier B,Central,1422,0.14,1312,1495.68
2024-02-06,Carrier C,East,1844,0.11,803,891.33
2024-02-07,Carrier C,North,709,0.23,1570,1931.1
2024-02-08,Carrier A,South,813,0.2,680,816.0
2024-02-09,Carrier C,North,1004,0.24,889,1102.36
2024-02-10,Carrier A,South,452,0.12,960,1075.2
2024-02-11,Carrier C,South,1419,0.16,346,401.36
2024-02-12,Carrier C,Central,1584,0.16,1199,1390.84
2024-02-13,Carrier A,South,196,0.25,253,316.25
2024-02-14,Carrier A,North,1221,0.07,1779,1903.53
2024-02-15,Carrier C,South,913,0.11,1558,1729.38
2024-02-16,Carrier B,Central,1784,0.09,1096,1194.64
2024-02-17,Carrier A,Central,1893,0.1,1209,1329.9
2024-02-18,Carrier B,North,538,0.15,796,915.4
2024-02-19,Carrier B,West,978,0.12,1408,1576.96
2024-02-20,Carrier B,West,1713,0.13,1343,1517.59
2024-02-21,Carrier A,South,600,0.22,1192,1454.24
2024-02-22,Carrier B,East,387,0.24,1170,1450.8
2024-02-23,Carrier A,South,921,0.06,1108,1174.48
2024-02-24,Carrier B,North,690,0.09,193,210.37
2024-02-25,Carrier C,North,1852,0.18,1873,2210.14
2024-02-26,Carrier C,North,522,0.12,1057,1183.84
2024-02-27,Carrier A,North,200,0.1,1111,1222.1
